meta_industry,col,count
Technology,Life Sciences,1
Technology,Dashboards,1
Healthcare and Medical,"Presented local community health efforts at numerous statewide and national events, including three American Public Health Association (APHA) conferences",1
Healthcare and Medical,Client Relations & Retention – Project Coordination – Process Improvement – Budget Management,1
Retail and Consumer Goods,Previous experience in customer service industries,1
Technology,Search marketing,1
Technology,Calculus&Analyt Geom/Sci&Engnr,1
Healthcare and Medical,Active Release Techniques,1
Healthcare and Medical,Microsoft Excel,7
Miscellaneous,Nutrition science,1
Retail and Consumer Goods,Configuring (70-401),1
Technology,10+ years of experience,6
Technology,Growth consulting for Pre-seed and Seed stage AI startups,1
Technology,Responsible for over $100M AUM,1
Technology,Dynamic nature continually searching for innovative and better answers to help coworkers and company,1
Technology,Executive positions at start-ups,1
Miscellaneous,12+ years of experience,3
Healthcare and Medical,Strategic communications,1
Healthcare and Medical,CPM,1
Healthcare and Medical,Notary Public - State of Alabama,1
Retail and Consumer Goods,Operations Management,3
Technology,Transportation,1
Healthcare and Medical,Assistant,1
Transportation and Logistics,Software not specified,1
Services,SEC/Financial Reporting and Audits,1
Technology,Enjoys cooking various cuisines,1
Retail and Consumer Goods,People Management,1
Government and Public Policy,Detail-oriented,1
Retail and Consumer Goods,Modern Endpoint Management,1
Technology,Sales Coaching,1
Technology,Zoom,1
Technology,Fortune 500 consulting,1
Technology,Film,1
Retail and Consumer Goods,Tableau,1
Miscellaneous,Embedded performance-driven culture,1
Miscellaneous,10+ years of experience,6
Healthcare and Medical,CPR,1
Healthcare and Medical,"Associates in Medical, Yorktowne Business Institute",1
Services,Korean Language 1,1
Real Estate and Construction,"5+ years, Social Media & Community Management",1
Technology,USAF acquisition program manager,1
Technology,SAFe® 5 Practitioner Certified,1
Technology,Microwave engineering,1
Healthcare and Medical,Essentials of Leadership,1
Real Estate and Construction,330 branches,1
Technology,Business/Technical Analysis,1
Technology,"Product design from components, parts, assemblies, and subassemblies",1
Education and Training,Student Affairs and Mentorship,1
Technology,Conducted weekly progress report meetings,1
Financial and Investment,Collaboration with cross-functional peers,1
Technology,"In-Depth Engineering, Software Development Intern', ""US Senator Jeanne Shaheen's Office, Legislative Intern"", 'Swarthmore College, B.S. in Engineering",1
Services,JD Edwards,1
Healthcare and Medical,Successful track record,1
Media and Entertainment,Ability to multi-task and prioritize,1
Media and Entertainment,22+ Years of Experience,1
Media and Entertainment,News Crisis Management,1
Media and Entertainment,Photojournalism,1
Technology,"Relationship Builder, Expectation Manager, Client Engager",1
Retail and Consumer Goods,"First Aid, CPR, AED",1
Retail and Consumer Goods,Warehouse experience since 1995,1
Real Estate and Construction,Self-Driven,1
Healthcare and Medical,Certified Pharmacy Based Immunizer,1
Healthcare and Medical,BLS,7
Technology,Power Platforms,1
Technology,Six Sigma,1
Retail and Consumer Goods,Oticon,1
Education and Training,Teaching and mentoring involvement,1
Retail and Consumer Goods,Interning at New Balance in IT Department,1
Miscellaneous,GIS,4
Technology,Information Accessibility,1
Technology,"Security (identity and access, software development)",1
Healthcare and Medical,Biomaterials course,1
Healthcare and Medical,Stem Cell Engineering course,1
Media and Entertainment,Public Speaking,2
Media and Entertainment,Social Media,1
Retail and Consumer Goods,Six sigma Green Belt,1
Healthcare and Medical,Sales and Marketing Strategy,1
Healthcare and Medical,"Experience in network troubleshooting, implementing security measures/network hardening",1
Technology,Avid runner,1
Technology,Relocated from US to India,1
Technology,CS Major with concentration in AI/ML,1
Technology,Ability to manage multiple responsibilities simultaneously,1
Education and Training,Environmental niche movement,1
Miscellaneous,SHRM Certified Professional (SHRM-CP),1
Healthcare and Medical,Adobe Premiere,1
Technology,CNDA,1
Healthcare and Medical,Leadership Academy Certificate,1
Healthcare and Medical,"ACLS, BLS",1
Healthcare and Medical,10 years RN experience,1
Real Estate and Construction,Team Leadership,1
Healthcare and Medical,Substance Abuse Prevention,1
Healthcare and Medical,Supply chain management,1
Technology,WordPress,1
Education and Training,Computer Organization and Programming,1
Miscellaneous,20+ years UX Design leadership,1
Miscellaneous,Managed first true global UX team with direct reports in five countries (2016),1
Miscellaneous,Word,2
Healthcare and Medical,Media & Culture Theory,1
Financial and Investment,Sprint Telecom billing,1
Healthcare and Medical,Salesforce Certified Administrator (SCA),1
Services,Missing other stuff,1
Technology,Healthcare decision-making strategist with deep experience,1
Technology,Hypothesis Testing,1
Services,On-boarding,1
Healthcare and Medical,MySQL,1
Media and Entertainment,Graphic Design,1
Retail and Consumer Goods,Adobe Creative Suite CS5 & CS6,1
Healthcare and Medical,Master of Arts (M.A.) in Mental Health Counseling/Counselor from Marshall University,1
Healthcare and Medical,"CompTIA A+, Network+, Security+ certified",1
Healthcare and Medical,Data Visualization with Tableau,1
Technology,Account management,1
Technology,Cross-Functional Collaboration,1
Technology,"Advisory services for business heads in strategy, valuation, M&A, and organizational change",1
Healthcare and Medical,Multi-platform editing,1
Healthcare and Medical,Completed Real Estate courses,1
Healthcare and Medical,High School Diploma,1
Miscellaneous,Laws with evidence,1
Healthcare and Medical,Pharmacology,1
Services,Wireless telecommunications industry,1
Technology,Process Improvement,2
Technology,Operational Stability and Efficiency,1
Technology,"Excel, NCMA data acquisition software",1
Technology,Physics- Electricity & Magnetism,1
Healthcare and Medical,"B.S. in Game Design, Full Sail University",1
Healthcare and Medical,.NET Core,1
Media and Entertainment,Broadcast media industry,1
Real Estate and Construction,Data modeling,1
Real Estate and Construction,Senior Business Development and Technical Sales Management Professional,1
Miscellaneous,Chief Executive Officer & Chief Customer Officer,1
Healthcare and Medical,7+ years as a pharmacy technician,1
Healthcare and Medical,Certified Pharmacy Technician,1
Technology,"Co-Founder, Thrill Group",1
Technology,Hundreds of thousands of views and tens of thousands of downloads annually for open source codes on GitHub,1
Miscellaneous,Engineering,2
Miscellaneous,Wisconsin Department of Natural Resources,1
Healthcare and Medical,"Energetic, driven, broad knowledge base in Peri-Operative arena",1
Financial and Investment,Logistics,1
Financial and Investment,Investment bank and law firms,1
Healthcare and Medical,Bachelors in Healthcare Management,1
Retail and Consumer Goods,Change management,1
Retail and Consumer Goods,Positive attitude,1
Services,"10+ years Technical Documentation (SOPs, Validation Protocols, IQ/OQ)",1
Technology,Embedded systems,1
Services,Founder and Operator at Currie & Co. Executive Search,1
Transportation and Logistics,Airport Operations Supervisor,1
Education and Training,Contextualizing and systematizing behaviors born from online engagement,1
Education and Training,Studying psychology,1
Services,6+ years in Supervisor and Management roles,1
Media and Entertainment,Delivering an Authentic Elevator Pitch certification,1
Media and Entertainment,operational efficiencies,1
Technology,Graphic Designer,1
Healthcare and Medical,Operations,3
Healthcare and Medical,Advanced Biochemistry,1
Healthcare and Medical,Pharmacist Intern License w/ Certification to Administer Immunizations,1
Technology,"Proficient in TypeScript, React, Flutter, and Dart",1
Technology,Digital Strategy,1
Technology,Data Science,1
Miscellaneous,Problem solving,2
Financial and Investment,Process engineering,1
Retail and Consumer Goods,Defect Management,1
Services,Negotiation,6
Services,Strong academic background,1
Retail and Consumer Goods,20 years of programming experience,1
Technology,Resource management,1
Healthcare and Medical,EHR expertise,1
Healthcare and Medical,Unique experiences for guests,1
Education and Training,Communicating In the Language of Leadership,1
Technology,Procreate ,1
Manufacturing,"Customer Service Representative, Financial Consultant, and Team Leader",1
Real Estate and Construction,Proficiency in making projections of future expenses,1
Miscellaneous,Bilingual (French & Creole),1
Retail and Consumer Goods,Powershell,1
Technology,Functional Genomics,1
Healthcare and Medical,Integrity,1
Healthcare and Medical,Spanish 202,1
Financial and Investment,Manufactory,1
Financial and Investment,API led design concepts,1
Retail and Consumer Goods,Communication skills,2
Services,"Methodical aptitude with an innate ability in decision-making, coordinating and synthesizing data",1
Services,Cyber security,1
Services,Confluence,1
Technology,Physics- Mechanics,1
Healthcare and Medical,8 years of full-time work while attending school,1
Real Estate and Construction,Developing overall enterprise budget,1
Miscellaneous,NHANES and large national survey data analysis and interpretation,1
Technology,UI/UX designer,1
Technology,Intro to Blockchain,1
Technology,Development,1
Technology,Global Strategic Financial Leadership,1
Technology,Cash Infusion,1
Technology,Financial System Automation,1
Technology,Feature Engineering,1
Education and Training,"Microscopic organism study (virus, bacteria, protists, metazoans)",1
Miscellaneous,Backup power,1
Education and Training,Media Planning and Buying,1
Technology,Passionate about writing and student support,1
Healthcare and Medical,"Cardiovascular Progressive Care unit, RN",1
Healthcare and Medical,HIPAA,3
Miscellaneous,American Airlines Arena AAA,1
Retail and Consumer Goods,Front end manager,1
Technology,Lean Six Sigma Yellow Belt Certification,1
Healthcare and Medical,JavaScript Developer,1
Healthcare and Medical,Python,6
Real Estate and Construction,"Communication, Time Management, Leadership, Microsoft Excel, Customer Service",1
Healthcare and Medical,LabView,1
Healthcare and Medical,Consumer and Market Behavior,1
Retail and Consumer Goods,Created Wildfire Relief Fund (Jan 2018),1
Technology,Facilitate offers and employment negotiations,1
Real Estate and Construction,20+ years experience in Information Technology,1
Healthcare and Medical,Home Care,1
Technology,RNA-seq data analysis,1
Technology,Matlab,3
Miscellaneous,Identifying defects in plated parts,1
Technology,"Collection, processing, analysis, and documentation of research data",1
Financial and Investment,7+ years of experience in Electronic Banking,1
Healthcare and Medical,Rosalie Shindel,1
Financial and Investment,7+ years experience,1
Healthcare and Medical,Public speaking,1
Healthcare and Medical,Valuation techniques,1
Education and Training,Empathy,1
Healthcare and Medical,Performing artists injuries,1
Healthcare and Medical,Programming for Everybody (Getting Started with Python),2
Healthcare and Medical,C#,1
Media and Entertainment,News strategy,1
Retail and Consumer Goods,15+ years of experience (since 2006),1
Education and Training,"Usable Security - University Of Maryland, College Park",1
Technology,Lawson,1
Services,Adobe Creative Cloud,1
Retail and Consumer Goods,Schnucks (Various locations),1
Technology,Missing,1
Technology,Executing Strategic Business Programs,1
Healthcare and Medical,Educator,1
Healthcare and Medical,13+ years in Healthcare Industry,1
Education and Training,"BA in English Language and Literature, Wellesley College",1
Healthcare and Medical,Willing to learn new things,1
Healthcare and Medical,Microsoft Money,1
Technology,Enjoys watching movies from the 1990s to present,1
Miscellaneous,Service-Now,1
Miscellaneous,Led over 100 custom researches,1
Miscellaneous,Consumer Products,1
Technology,www.futuramobili.com,1
Miscellaneous,Light microscopy,1
Healthcare and Medical,Group health plan knowledge,1
Technology,Technologies Infrastructure and Architecture,1
Technology,Chemistry,1
Technology,Marine Systems Technician certification,1
Technology,Data Mining,1
Manufacturing,Builds relationships and teams,1
Healthcare and Medical,Neural Plasticity & Neurorehabilitation course,1
Retail and Consumer Goods,Oracle Workflows,1
Retail and Consumer Goods,Swagger API documentation,1
Technology,Pre clinical trials,1
Technology,Investor Relations,1
Retail and Consumer Goods,10+ years of Experience,1
Miscellaneous,Cookie banners,1
Healthcare and Medical,"Dean’s List, every semester",1
Financial and Investment,Commercial Lending,2
Retail and Consumer Goods,QA Process Development,1
Services,National Account Manager (>10 years),1
Technology,Strategic communications,1
Healthcare and Medical,TCU Biology and Child Development Double Degree Graduate,1
Technology,Account Management,1
Retail and Consumer Goods,Microsoft Excel 101,1
Technology,Technical writing and communicating results,1
Technology,Systems engineering,1
Miscellaneous,Scheduling ,1
Miscellaneous,Mechatronics course,1
Services,Sales Management,2
Services,"Account, people management, and service delivery",1
Technology,Leading SEO efforts (Unlock Health),1
Services,"Expertise includes Recruitment, Retention, Business Development, Cultural Improvement",1
Healthcare and Medical,"Resident, New York Presbyterian - Columbia",1
Healthcare and Medical,Pro Engineer,1
Media and Entertainment,"Emmy Award, 2013",1
Technology,Cinema 4D ,1
Technology,"Dedicated, innovative, and client-service focused",1
Real Estate and Construction,Real Estate Broker/Sales Agent,1
Technology,Capture Management,1
Technology,Stakeholder Management,1
Miscellaneous,"Food, Personal Care, Paper and Consumer Durable categories",1
Financial and Investment,Series 7,1
Retail and Consumer Goods,Last 15 years in food industry,1
Technology,Introduction to Coding,1
Technology,Active Directory,1
Technology,Statistical modeling,1
Technology,Warren Writing,1
Healthcare and Medical,Business growth,1
Media and Entertainment,advanced media analytics,1
Media and Entertainment,3D Modeling,1
Technology,6+ years of experience,4
Retail and Consumer Goods,Social Psychology,2
Services,Great communication and presentation skills,1
Manufacturing,Personnel,1
Education and Training,Objects and Design,1
Miscellaneous,Mediation ,1
Technology,Collaborated with other instructors,1
Healthcare and Medical,"Increased knowledge in infusion, with emphasis on outpatient and chemotherapeutic agents",1
Retail and Consumer Goods,Geography student,1
Services,Mother of a child with Cystic Fibrosis.,1
Technology,40 years of experience,1
Technology,Mathematical programming,1
Education and Training,"Graduated from Oklahoma Christian University in Marketing Management (emphasis in Advertising), 2018",1
Healthcare and Medical,Basic Life Support,2
Healthcare and Medical,Introduced innovations with Electronic Medical Record application,1
Media and Entertainment,Available to change residence,1
Technology,"PowerMBA, AI for Everyone, Software Product Management Certificate, Content Strategy for Professionals 2, AdWords Search Certification",1
Healthcare and Medical,Finance,4
Miscellaneous,International Commodities Manager,1
Technology,Thrill Group acquired by Shaadi.com (2016),1
Technology,Business development,1
Healthcare and Medical,Senior System Engineer,1
Miscellaneous,5+ years experience,1
Miscellaneous,STM32Fx Microcontroller Custom Bootloader Development,1
Healthcare and Medical,Team leading,1
Financial and Investment,E-payments,1
Financial and Investment,General ledger,1
Retail and Consumer Goods,Cultural Anthropology,1
Technology,Mathematical Modeling,1
Healthcare and Medical,Manual Therapy certified (University of St. Augustine),1
Technology,"BS in Computer and Information Systems Security/Information Assurance, Limestone College",1
Healthcare and Medical,Solidworks,1
Media and Entertainment,Audio Production,1
Miscellaneous,Town of Palm Beach Volunteer,1
Healthcare and Medical,Earth History,1
Technology,Transfer industrial design ideas into products,1
Technology,Community building,1
Technology,Leadership Style,1
Education and Training,Data Structures & Algorithms,1
Healthcare and Medical,Certified Nurses Assistant,1
Miscellaneous,Analytical and detail-focused mental healthcare professional,1
Miscellaneous,Thermodynamics experience,1
Healthcare and Medical,"Actively looking for job positions in El Paso, Texas",1
Healthcare and Medical,Emphasis on prevention and accountability,1
Financial and Investment,Attention to detail,4
Retail and Consumer Goods,U.S. Army Veteran,1
Retail and Consumer Goods,Organizational skills,1
Technology,CEH,2
Media and Entertainment,20+ years media industry experience (radio and TV),1
Technology,Blender,1
Retail and Consumer Goods,Autopiloting algorithms,1
Retail and Consumer Goods,20+ years as forklift operator/packer,1
Services,Certified Team Developer,1
Retail and Consumer Goods,"Properties in Portland, Freeport, Freeport Retail Campus, Brunswick, Lewiston, and Rangeley Maine",1
Technology,Sales technology enthusiast,1
Technology,"Startup founder, self-guided leasing solution",1
Technology,Interest in NLP,1
Financial and Investment,Translating technical data for non-technical audiences,1
Services,Clinical testing for the Dengue vaccine.,1
Technology,Creative problem solver ,1
Healthcare and Medical,Project Management Professional (PMP),2
Transportation and Logistics,Previous positions not specified,1
Education and Training,New York,1
Healthcare and Medical,Facilitates schedules of 25 doctors,1
Retail and Consumer Goods,OAB,1
Manufacturing,MS DOS,1
Technology,2 enterprise software companies sold via NASDAQ IPOs,1
Technology,SQL,2
Miscellaneous,IF design award winner (2016),1
Miscellaneous,5x Emmy-nominated,1
Retail and Consumer Goods,ProTools,1
Technology,Global health,1
Healthcare and Medical,Biostatistics,1
Healthcare and Medical,Clinic/community center aspirations,1
Retail and Consumer Goods,Customer engagement and retention,1
Miscellaneous,Machine operator,1
Technology,Persuasive Communications,1
Technology,Microsoft 365,1
Retail and Consumer Goods,Phonak,1
Healthcare and Medical,Yoga Instructor certification,1
Miscellaneous,Talent Management,1
Miscellaneous,Safety Compliance ,1
Miscellaneous,Chemical education projects,1
Technology,Aquatic ecology,1
Technology,Field equipment maintenance,1
Financial and Investment,CompTIA Security+ certification,1
Financial and Investment,Verizon Telecom billing,1
Healthcare and Medical,SQL,6
Retail and Consumer Goods,"Experience in Trend Analysis, Action Sports, Shoes, Sportswear, and Brand Development.",1
Technology,DSP,1
Technology,10+ years of experience as an Economist,1
Healthcare and Medical,GMP Finished Product Testing Experience,1
Services,Interior design firm,1
Retail and Consumer Goods,Employee retention,1
Retail and Consumer Goods,Blogging,1
Technology,"Human and Organizational Development (HOD), Spanish Double Major",1
Education and Training,Computing and Society (Ethics),1
Technology,"Organized, scheduled, marketed events",1
Technology,QA Auditing,1
Healthcare and Medical,25 years in the industry,1
Financial and Investment,Premier Global,1
Healthcare and Medical,Organizational skills,1
Transportation and Logistics,Expertise in financial planning and budgeting,1
Services,Missing software,1
Services,Digital Image Processing,1
Technology,Object Orientated Programming,1
Education and Training,"Program Manager for Curriculum Implementation, Barnard College",1
Healthcare and Medical,BLS certification,2
Healthcare and Medical,Presenting to diverse disciplines,1
Government and Public Policy,MuleSoft,1
Retail and Consumer Goods,MECM,1
Retail and Consumer Goods,Google Ads,1
Manufacturing,HTML,1
Technology,Percutaneous implant system,1
Technology,Computational Linguistics,1
Education and Training,"Genomics, statistics, machine learning, and mechanistic modelling experience",1
Education and Training,Designed AI Stock Price Prediction Model,1
Retail and Consumer Goods,Resound,1
Miscellaneous,Investigated and addressed potential mental healthcare issues,1
Miscellaneous,Lean Manufacturing,2
Miscellaneous,Transitioning from Manager to Leader,1
Miscellaneous,Training & Development ,1
Services,Rapport building,1
Technology,Microsoft Office Expert,1
Technology,Management consulting,1
Technology,Coast Guard Reservist,1
Technology,Strategic planning,2
Technology,"Simulation and modeling of sensor, vehicle and weapon systems",1
Healthcare and Medical,Pioneered Big Data and Advanced Analytics,1
Manufacturing,Promotional merchandise development,1
Media and Entertainment,Investigative journalist,1
Media and Entertainment,News writing,1
Manufacturing,Excellent communication skills,1
Miscellaneous,Stakeholder analysis,1
Miscellaneous,significant multi-miliion dollar cost savings,1
Retail and Consumer Goods,Google Analytics for Beginners,1
Healthcare and Medical,2.5 years experience as a dietary tech,1
Financial and Investment,Team Building,1
Healthcare and Medical,Postman,1
Services,Creative and innovative R&D Formulation,1
Retail and Consumer Goods,Abnormal Psychology,2
Technology,GMDSS Radio Operator certification,1
Technology,Spanish (fluent),1
Healthcare and Medical,Calculus for Life Sciences,1
Healthcare and Medical,FMS/SFMA,1
Real Estate and Construction,<10 Years of Experience,1
Manufacturing,Performance management,3
Media and Entertainment,Political matters,1
Media and Entertainment,Media planning,1
Technology,After Effects ,1
Healthcare and Medical,Services Marketing,1
Media and Entertainment,Mentors,1
Government and Public Policy,14+ years experience in libraries,1
Healthcare and Medical,PTCB Medication History Certificate,1
Technology,Distributed Systems,1
Technology,CEO of Paige,1
Miscellaneous,Executed behavioral and operational policies and procedures,1
Miscellaneous,Employed at Kohler Co since 2012,1
Miscellaneous,Automations,1
Technology,Environmental impact mitigation,1
Transportation and Logistics,Implemented enterprise resource planning and best practices,1
Services,High-quality solutions,1
Services,Calculus 1,1
Technology,Leadership in enterprise strategic management,1
Healthcare and Medical,Registered Nurse,12
Services,Background in Talent Management,1
Media and Entertainment,Avid,1
Media and Entertainment,Multimedia Journalist,1
Retail and Consumer Goods,Developing talent,1
Healthcare and Medical,Business risk analysis,1
Miscellaneous,SCRUM Fundamentals Certification (SFC),1
Healthcare and Medical,Pharmacy experience,1
Technology,Certified Pennslyvannia EMR,1
Technology,Series 7 - General Securities Representative Exam,1
Technology,Artificial Intelligence,1
Technology,Maintenance management,1
Miscellaneous,Designing and delivering training programs,1
Miscellaneous,Project Commissioning,1
Healthcare and Medical,Community Health,1
Retail and Consumer Goods,Executive Office Management,1
Services,Japanese Hiragana/Katakana (elementary),1
Technology,"Elementary school teacher, Small business owner, Small Business Administration, Department of Justice - Offices of the Inspector General",1
Manufacturing,15 years of experience,4
Healthcare and Medical,Pharmaceutics,1
Retail and Consumer Goods,"AAS in Business Administration, Management and Operations",1
Retail and Consumer Goods,VMWare,1
Healthcare and Medical,Biomedical Investigators and Key Personnel,1
Technology,Robotics,1
Healthcare and Medical,Instructional Designer,1
Miscellaneous,First design research in China (2006),1
Education and Training,Advertising Campaigns,1
Healthcare and Medical,Set direction for the network,1
Healthcare and Medical,Data gathering,1
Miscellaneous,"Creating, producing, supervising network and independent productions",1
Technology,Scaled Agile Framework (SAFe),1
Technology,SAS Enterprise Miner,1
Healthcare and Medical,"Senior SAS Programmer/Analyst, Statistician",1
Retail and Consumer Goods,Business Administration student at Texas Woman’s University,1
Real Estate and Construction,12+ years management experience,1
Miscellaneous,Good hand dexterity,1
Healthcare and Medical,Intro to Materials Science,1
Technology,Litigation and Jury Trials,1
Technology,"MATLAB, Python, R, MySQL",1
Technology,Machine learning,1
Education and Training,"Cryptography - University Of Maryland, College Park",1
Technology,Private writing tutor,1
Retail and Consumer Goods,"Studio Engineer, Dark Horse Institute",1
Retail and Consumer Goods,Urgency,1
Real Estate and Construction,Professional Paralegal (PP) certification,1
Retail and Consumer Goods,European History,1
Services,Leadership positions at nationally recognized search firms,1
Healthcare and Medical,Web Data Access,1
Services,SABA LMS,1
Healthcare and Medical,Lean Six Sigma Green Belt Certification,1
Media and Entertainment,Radio Practicum,1
Services,Mother of two,2
Miscellaneous,Strategic Planning,2
Retail and Consumer Goods,OneTrust Certified Privacy Professional,1
Technology,Medical implants and devices,1
Miscellaneous,Future main consumers,1
Healthcare and Medical,"Coder III, professional coding services",1
Healthcare and Medical,NR-CMA,1
Miscellaneous,Storyteller,1
Technology,Project Management Professional,1
Technology,Software Documentation,2
Technology,Macroeconomics for Business,1
Technology,Grant writing/research,1
Manufacturing,Process Engineering,1
Healthcare and Medical,"Volunteer, Medley Police Department', ""Volunteer Team Leader, Women's Heart and Breast Initiative"", 'NSU SGA President",1
Technology,Grid Computing,1
Technology,20 years of experience,1
Technology,"Startup founder, public REIT",1
Education and Training,Introduction to Quantum Computing,1
Healthcare and Medical,CPR Certification,1
Technology,Passionate about serving others,1
Healthcare and Medical,Skilled in copy writing and editing,1
Financial and Investment,Continuous Integration and Delivery,1
Technology,Technology Law,1
Media and Entertainment,"Table Game Dealer, Gambling & Casinos', ""Associate's degree in Chemical Process Technology"", 'Follow Directions",1
Healthcare and Medical,Health and safety,1
Media and Entertainment,Executive Committee,1
Retail and Consumer Goods,Accountability,1
Services,"Broad range of experience as an actor, performer, and host",1
Real Estate and Construction,"Mastering Business Analysis - Endorsed by IIBA®, Canada",1
Technology,Project Estimation,1
Technology,Interest in innovative tech and products for social impact,1
Technology,Maxio,1
Healthcare and Medical,Business Administration at University of Phoenix online classes,1
Healthcare and Medical,Standardizing procedures at ISIA Marketing,1
Healthcare and Medical,Leadership positions experience,1
Education and Training,Research supervisor,1
Healthcare and Medical,Medical Surgical Nursing,1
Financial and Investment,Foreign Currency Exchange,1
Media and Entertainment,Streamline business operations for growth and efficiency,1
Services,Policy Development/Accounting Compliance,1
Miscellaneous,Sr. R & D Buyer,1
Manufacturing,Information Systems,1
Healthcare and Medical,"JRCOSTEP, United States Public Health Service",1
Technology,SVP of Engineering for HeartFlow,1
Technology,Event planning,1
Education and Training,Systems and Networks,1
Healthcare and Medical,Patient Safety,1
Miscellaneous,Computer Networking,1
Miscellaneous,Scanning electron microscopy,1
Healthcare and Medical,Hard worker,2
Healthcare and Medical,Award winning writer,1
Technology,"Change Acceleration Process, Organizational Change Management, Plain Language Writing, Six Sigma Greenbelt, Tangible Culture",1
Technology,1 year independent consultant,1
Education and Training,Managing Your Professional Network,1
Healthcare and Medical,Pharmaceuticals industry,3
Healthcare and Medical,Medical Imaging Instrumentation course,1
Retail and Consumer Goods,Fine Art,1
Miscellaneous,Leading Quality Improvement (certificate),1
Miscellaneous,Follow-up,1
Technology,Magento and WordPress,1
Technology,"PhD, MIT, Condensed matter theory, Applied AI in Physics",1
Healthcare and Medical,Fulfill customer needs,1
Miscellaneous,Knowledge of the Sheboygan area,1
Retail and Consumer Goods,Brand / Business Manager with demonstrated history in skateboarding and sporting goods industry.,1
Technology,Custom solutions expertise,1
Technology,"Business strategy, strategic planning, performance measurement, evaluation, management, governance, policy development, process improvement",1
Technology,ICS 700,1
Technology,Clear communicator,1
Healthcare and Medical,Physics,1
Healthcare and Medical,Medicare Sales Manager at UnitedHealthcare,1
Education and Training,How to Use LinkedIn Learning,1
Healthcare and Medical,New account startups,1
Real Estate and Construction,Graduating May 2023,1
Government and Public Policy,Doctor of Law (JD) in Law from Drake University Law School,1
Government and Public Policy,Microsoft Word,3
Miscellaneous,IT Strategy,1
Healthcare and Medical,Experienced in long term care pharmacy,1
Healthcare and Medical,PTCB Controlled Substances Diversion Prevention Certificate,1
Retail and Consumer Goods,SQL,1
Miscellaneous,Employee Relations ,1
Technology,TEFL certification,1
Technology,ICS 200,1
Technology,Creative problem solving,1
Education and Training,Minors in Education Studies and Yoruba,1
Healthcare and Medical,Board Certified Pharmacotherapy Specialist,1
Healthcare and Medical,Interpersonal skills,3
Healthcare and Medical,Generated leads and online presence by building marketing packages and websites for clients,1
Healthcare and Medical,ASP.NET,1
Healthcare and Medical,Managerial Strategies in Marketing,1
Healthcare and Medical,Marketing,5
Retail and Consumer Goods,"Pivotal Cloud Foundry, OpenShift ",1
Technology,"PTC Creo, CATIA, SolidWorks, GD&T",1
Technology,"Tableau, Power BI, Minitab, Diadem",1
Technology,"Data science specialization, Stanford University Machine Learning",1
Technology,Financial Derivatives,1
Technology,Created large-scale Kubernetes platform,1
Education and Training,Unity,1
Media and Entertainment,Senior Producer,1
Miscellaneous,19+ years of experience,2
Miscellaneous,Computational Fluid Mechanics course,1
Healthcare and Medical,BLS Instructor Trainer,1
Services,Missing years of experience,1
Healthcare and Medical,Numerical Methods course,1
Healthcare and Medical,Predictive Index (PI),1
Miscellaneous,Ph.D. in Human Nutrition,1
Retail and Consumer Goods,Process and procedure streamlining,1
Technology,Business development manager with a proven track record in software sales across the USA,1
Miscellaneous,Manage Generation Z certification,1
Miscellaneous,"Plumbing, engines, and generator industries",1
Healthcare and Medical,Detail-oriented,4
Technology,Provided professional customer service,1
Technology,Natural resource management,1
Healthcare and Medical,Public Speaking,3
Healthcare and Medical,OPNET Executive Briefing @ OPNETwork in 2011,1
Healthcare and Medical,Meticulous organizational & strategic planning,1
Financial and Investment,"Ansible, VMware, Microsoft Exchange, Apache, IIS, Juniper Networking, Cisco Networking",1
Transportation and Logistics,Welding/Fabricating,1
Miscellaneous,Director,1
Retail and Consumer Goods,"Planned and designed curriculum, trainings, and parent meetings",1
Retail and Consumer Goods,"Interviewing, Hiring",1
Services,"20+ years Project Management (Project Lifecycle, Requirements, Waterfall/Phased Delivery)",1
Healthcare and Medical,Acute pain medicine,1
Healthcare and Medical,The Bits and Bytes of Computer Networking,1
Healthcare and Medical,Functional Range Release,1
Media and Entertainment,"BA in TV and Radio Production, Pontifical Catholic University",1
Retail and Consumer Goods,Driving results,1
Retail and Consumer Goods,"BBA in Management, University of Texas at Arlington (recent graduate)",1
Miscellaneous,Dietary intake assessment,1
Miscellaneous,Business Planning,1
Technology,Image Processing,1
Technology,"Thermodynamics, Fluid mechanics, Heat transfer",1
Technology,Logistics,1
Healthcare and Medical,Certified Professional in Training Management (CPTM),1
Financial and Investment,Senior Financial Analyst,1
Healthcare and Medical,Nursing Care for Children/ Families,1
Healthcare and Medical,Basic Principles of Nursing,1
Financial and Investment,Senior Vice President for Commercial Banking,1
Retail and Consumer Goods,L&D,1
Technology,Pre-Service Training,1
Healthcare and Medical,Emergency management,1
Healthcare and Medical,Introduction to Applied Chemical Thermodynamics course,1
Media and Entertainment,15+ years of experience in television pre-production and live production,1
Media and Entertainment,Camera,1
Retail and Consumer Goods,Met Former President Donald Trump (Jan 2018),1
Retail and Consumer Goods,"2D artist, interest in ceramics",1
Real Estate and Construction,Information Technology Director,1
Manufacturing,VBA,1
Technology,www.droptopchallenger.com,1
Technology,"Teresina, Brazil",1
Technology,Condition monitoring,1
Miscellaneous,Experience in mental health counseling and diagnosing disorders,1
Financial and Investment,"Commercial real estate, small business administration, C&I",1
Healthcare and Medical,Alteryt,1
Miscellaneous,Boris FX,1
Services,Onboarding Concierge,1
